Year,Population projection (Serie A),Population projection (Serie B),Population projection (Serie C)
2021,"25,873,480","25,873,480","25,873,480"
2022,"26,402,046","26,301,274","26,200,811"
2023,"26,873,947","26,727,025","26,582,009"
2024,"27,349,900","27,147,199","26,949,969"
2025,"27,829,520","27,562,195","27,303,910"
2026,"28,311,405","27,970,435","27,643,086"
2027,"28,796,151","28,372,315","27,966,732"
2028,"29,283,507","28,765,734","28,273,607"
2029,"29,773,492","29,157,085","28,575,391"
2030,"30,264,147","29,545,877","28,872,946"
2031,"30,755,046","29,931,725","29,165,889"
2032,"31,245,852","30,314,335","29,453,938"
2033,"31,736,375","30,693,262","29,736,678"
2034,"32,226,409","31,068,410","30,014,050"
2035,"32,715,890","31,439,821","30,286,143"
2036,"33,204,848","31,807,641","30,553,159"
2037,"33,693,412","32,172,123","30,815,407"
2038,"34,182,203","32,533,632","31,073,310"
2039,"34,671,331","32,892,495","31,327,250"
2040,"35,160,908","33,248,991","31,577,558"
2041,"35,651,025","33,603,376","31,824,534"
2042,"36,141,847","33,955,939","32,068,498"
2043,"36,633,428","34,306,863","32,309,646"
2044,"37,125,971","34,656,377","32,548,204"
2045,"37,619,613","35,004,632","32,784,296"
2046,"38,114,559","35,351,791","33,018,032"
2047,"38,611,020","35,698,016","33,249,486"
2048,"39,109,288","36,043,472","33,478,711"
2049,"39,609,722","36,388,374","33,705,787"
2050,"40,112,650","36,732,899","33,930,739"
2051,"40,618,436","37,077,210","34,153,575"
2052,"41,127,485","37,421,528","34,374,365"
2053,"41,640,167","37,766,007","34,593,127"
2054,"42,156,755","38,110,846","34,809,946"
2055,"42,677,496","38,456,120","35,024,815"
2056,"43,202,553","38,801,884","35,237,742"
2057,"43,731,893","39,148,145","35,448,725"
2058,"44,265,558","39,494,845","35,657,744"
2059,"44,803,407","39,841,888","35,864,777"
2060,"45,345,286","40,189,171","36,069,828"
2061,"45,890,971","40,536,481","36,272,819"
2062,"46,440,182","40,883,602","36,473,692"
2063,"46,992,564","41,230,317","36,672,396"
2064,"47,547,713","41,576,362","36,868,831"
2065,"48,105,281","41,921,500","37,062,917"
2066,"48,664,837","42,265,557","37,254,622"
