,1901,1931,1961,1991,2016
Males,,,,,
0-4,219987,312200,573700,652302,807893
5-9,231132,323400,535600,652418,804219
10-14,218946,309700,521000,638311,735448
15-19,189434,311700,416000,698773,755575
20-24,174644,290500,360100,707124,864974
25-29,163029,266400,341100,702728,907735
30-34,156062,243000,386900,713784,892061
35-39,152163,234200,394100,664228,801868
40-44,126135,228500,343800,655138,807640
45-49,88833,195800,335600,526498,785668
50-54,66809,161000,292200,433762,762788
55-59,52928,129900,237800,367302,723738
60-64,46074,113100,190000,366779,637586
65-69,38326,91000,149300,320142,589110
70-74,25675,61900,117000,228494,436841
75-79,12709,30600,69000,158993,308155
80-84,5961,13000,33300,84413,202502
85 and over,2192,5300,15800,44220,179238
,,,,,
Females,,,,,
0-4,214754,299300,546400,619401,765733
5-9,225849,314400,511600,619790,763062
10-14,215206,298900,496700,603308,696242
15-19,188681,304700,394300,665301,719579
20-24,176349,273200,335000,689640,829100
25-29,157515,245200,312100,696935,906561
30-34,136009,239200,352300,711951,902024
35-39,120547,239300,371700,664159,805594
40-44,95055,220800,334400,639133,819136
45-49,66176,185500,323600,502647,819262
50-54,52263,152900,272100,413172,785688
55-59,43366,126700,227000,358648,752177
60-64,37224,108800,208500,370089,667305
65-69,30094,84600,185600,351248,603963
70-74,18301,59600,147500,282261,453355
75-79,9739,30600,95700,225502,343045
80-84,4961,14600,53500,145415,252601
85 and over,2030,7000,27900,110027,303441
