Year,Total_capital_cities,Total_rest_of_state
1921,2402579,3108870
1922,2481060,3152961
1923,2555340,3197826
1924,2631750,3247570
1925,2704210,3296020
1926,2779330,3342104
1927,2852610,3395625
1928,2914220,3437212
1929,3050200,3381280
1930,3058670,3437411
1931,3072800,3474682
1932,3099800,3499216
1933,3127221,3529081
1934,3141940,3560353
1935,3160360,3590051
1936,3187940,3617016
1937,3212130,3653874
1938,3246737,3683283
1939,3285010,3712149
1940,3353970,3714235
1941,3457110,3677578
1942,3537080,3656002
1943,3617470,3641372
1944,3688620,3647527
1945,3749170,3670061
1946,3802090,3704730
1947,3880788,3745642
1948,3944390,3824196
1949,4043610,3973649
1950,4156330,4122545
1951,4239170,4258527
1952,4322070,4388055
1953,4394270,4479327
1954,4853301,4133229
1955,4992478,4207251
1956,5137736,4287827
1957,5271481,4347596
1958,5407372,4412864
1959,5547519,4484871
1960,5689468,4559979
1961,6318721,4229546
1962,6450860,4245427
1963,6607931,4293987
1964,6792310,4374392
1965,6945345,4388462
1966,7138348,4461150
1967,7296588,4502490
1968,7460580,4548055
1969,7659425,4603589
1970,7858530,4648819
1971,8556469,4510796
1972,8706692,4596972
1973,8834506,4670032
1974,8975341,4747230
1975,9076407,4816588
1976,9173740,4859343
1977,9274788,4917446
1978,9376181,4983074
1979,9461997,5053732
1980,9563191,5132165
1981,9676544,5245956
1982,9835474,5348032
1983,9966601,5426149
1984,10084787,5493901
1985,10217213,5570415
1986,10368161,5649525
1987,10532413,5730785
1988,10710790,5820684
1989,10884292,5929420
1990,11032823,6031586
1991,11165682,6117620
1992,11285768,6192210
1993,11378699,6255470
1994,11484774,6317939
1995,11624977,6376984
1996,11785446,6436226
1997,11922465,6497711
1998,12050186,6554644
1999,12194100,6615484
2000,12347924,6678260
2001,12526973,6745144
2002,12677495,6815318
2003,12831118,6887283
2004,12978905,6951461
2005,13149542,7024921
2006,13344725,7103862
2007,13625097,7200011
2008,13934331,7312185
2009,14261527,7427250
2010,14508214,7520481
2011,14736773,7600134
2012,15037353,7693079
2013,15343969,7781198
2014,15626454,7846336
2015,15911439,7901705
2016,16221421,7964878
